time,bx,by,bz
2021-02-13 00:26:00.000,1.54,-3.82,-5.00
2021-02-13 00:27:00.000,1.97,-3.51,-5.13
2021-02-13 00:28:00.000,1.76,-3.67,-5.20
2021-02-13 00:29:00.000,-1.16,-1.13,-7.27
2021-02-13 00:30:00.000,-0.99,-1.25,-6.25
2021-02-13 00:31:00.000,4.48,-4.39,1.57
2021-02-13 00:32:00.000,4.55,-4.95,0.34
2021-02-13 00:33:00.000,4.86,-4.33,0.76
2021-02-13 00:34:00.000,4.47,-5.12,-1.57
2021-02-13 00:35:00.000,4.09,-5.38,-2.59
2021-02-13 00:36:00.000,3.97,-5.38,-2.22
2021-02-13 00:37:00.000,3.25,-5.12,-3.98
2021-02-13 00:38:00.000,2.24,-4.89,-5.57
2021-02-13 00:39:00.000,2.18,-4.72,-5.55
2021-02-13 00:40:00.000,2.31,-4.74,-5.57
2021-02-13 00:41:00.000,3.19,-4.89,-5.67
2021-02-13 00:42:00.000,2.53,-4.19,-6.50
2021-02-13 00:43:00.000,3.32,-4.19,-6.65
2021-02-13 00:44:00.000,3.41,-4.07,-7.03
2021-02-13 00:45:00.000,-1.24,-1.85,-8.61
2021-02-13 00:46:00.000,-1.35,-1.87,-8.86
2021-02-13 00:47:00.000,-0.79,-1.84,-9.78
2021-02-13 00:48:00.000,-0.21,0.13,-9.95
2021-02-13 00:49:00.000,-1.01,-0.12,-9.98
2021-02-13 00:50:00.000,-2.65,-0.48,-9.02
2021-02-13 00:51:00.000,-2.71,-0.74,-9.20
2021-02-13 00:52:00.000,-2.50,-1.57,-9.33
2021-02-13 00:53:00.000,-2.66,-0.81,-9.36
2021-02-13 00:54:00.000,-0.92,-1.53,-9.53
2021-02-13 00:55:00.000,1.35,-3.26,-9.02
2021-02-13 00:56:00.000,2.03,-4.12,-8.62
2021-02-13 00:57:00.000,2.23,-4.44,-8.29
2021-02-13 00:58:00.000,4.12,-6.71,-4.24
2021-02-13 00:59:00.000,3.98,-7.79,-3.05
2021-02-13 01:00:00.000,5.33,-7.20,-0.53
2021-02-13 01:01:00.000,4.97,-7.65,-0.81
2021-02-13 01:02:00.000,5.29,-7.22,-1.80
2021-02-13 01:03:00.000,5.72,-7.39,-1.03
2021-02-13 01:04:00.000,5.71,-6.56,0.85
2021-02-13 01:05:00.000,6.19,-6.97,-2.35
2021-02-13 01:06:00.000,5.64,-6.90,1.39
2021-02-13 01:07:00.000,6.32,-6.50,2.29
2021-02-13 01:08:00.000,7.40,-5.59,1.78
2021-02-13 01:09:00.000,6.86,-6.06,2.42
2021-02-13 01:10:00.000,5.81,-4.58,4.47
2021-02-13 01:11:00.000,4.86,-0.96,8.15
2021-02-13 01:12:00.000,5.01,-1.45,8.06
2021-02-13 01:13:00.000,5.05,-2.16,7.72
2021-02-13 01:14:00.000,4.13,-1.51,7.62
2021-02-13 01:15:00.000,4.61,-2.28,7.13
2021-02-13 01:16:00.000,6.67,-4.07,5.26
