time,density,speed,temperature
2021-02-13 00:26:00.000,18.24,364.9,0
2021-02-13 00:27:00.000,18.44,364.9,0
2021-02-13 00:28:00.000,18.02,366.9,0
2021-02-13 00:29:00.000,17.62,370.5,0
2021-02-13 00:30:00.000,17.78,372.5,0
2021-02-13 00:31:00.000,18.18,363.2,0
2021-02-13 00:32:00.000,18.29,362.9,0
2021-02-13 00:33:00.000,18.31,362.5,0
2021-02-13 00:34:00.000,18.79,364.0,0
2021-02-13 00:35:00.000,18.60,364.2,0
2021-02-13 00:36:00.000,18.71,364.9,0
2021-02-13 00:37:00.000,19.14,368.5,0
2021-02-13 00:38:00.000,19.02,369.8,0
2021-02-13 00:39:00.000,19.39,370.5,0
2021-02-13 00:40:00.000,19.77,371.6,0
2021-02-13 00:41:00.000,19.01,370.9,0
2021-02-13 00:42:00.000,19.58,373.1,0
2021-02-13 00:43:00.000,19.94,373.5,0
2021-02-13 00:44:00.000,19.87,374.1,0
2021-02-13 00:45:00.000,19.12,374.6,0
2021-02-13 00:46:00.000,20.31,374.2,0
2021-02-13 00:47:00.000,20.15,376.2,0
2021-02-13 00:48:00.000,19.53,380.0,0
2021-02-13 00:49:00.000,19.51,380.6,0
2021-02-13 00:50:00.000,19.52,381.7,0
2021-02-13 00:51:00.000,19.55,382.2,0
2021-02-13 00:52:00.000,19.00,381.2,0
2021-02-13 00:53:00.000,19.85,383.4,0
2021-02-13 00:54:00.000,21.41,386.4,0
2021-02-13 00:55:00.000,21.91,386.4,0
2021-02-13 00:56:00.000,21.87,381.6,0
2021-02-13 00:57:00.000,22.15,380.0,0
2021-02-13 00:58:00.000,22.76,378.3,0
2021-02-13 00:59:00.000,22.98,379.7,0
2021-02-13 01:00:00.000,24.70,377.2,0
2021-02-13 01:01:00.000,25.35,377.7,0
2021-02-13 01:02:00.000,25.21,378.1,0
2021-02-13 01:03:00.000,24.95,376.0,0
2021-02-13 01:04:00.000,24.65,378.6,0
2021-02-13 01:05:00.000,24.90,377.0,0
2021-02-13 01:06:00.000,25.51,378.3,0
2021-02-13 01:07:00.000,24.93,376.8,0
2021-02-13 01:08:00.000,25.38,375.0,0
2021-02-13 01:09:00.000,24.67,375.3,0
2021-02-13 01:10:00.000,25.36,377.8,0
2021-02-13 01:11:00.000,23.33,379.8,0
2021-02-13 01:12:00.000,24.25,379.9,0
2021-02-13 01:13:00.000,24.95,379.8,0
2021-02-13 01:14:00.000,25.50,380.4,0
2021-02-13 01:15:00.000,24.90,379.3,0
2021-02-13 01:16:00.000,24.54,374.7,0
2021-02-13 01:17:00.000,24.87,374.5,0
2021-02-13 01:18:00.000,25.26,376.0,0
2021-02-13 01:19:00.000,24.63,379.1,0
