#Aurora Hemispheric Power Tabular Values
# Product: Ovation Aurora Short Term Forecast    http://services.swpc.noaa.gov/text/aurora-nowcast-hemi-power.txt
# Timestamp is the valid time of a 30 minute forecast
# This file contains data for 2021-02-13
#
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center.
# Please send comments and suggestions to SWPC.CustomerSupport@noaa.gov
#
# Missing Data:  (n/a)
# Cadence:   5 minutes
#
# Tabular Data Format
#
# Observation        Forecast            North-Hemispheric-Power-Index    South-Hemispheric-Power-Index-GigaWatts
# YYYY-MM-DD_HH:MM   YYYY-MM-DD_HH:MM    GigaWatts    			  GigaWatts
#------------------------------------------------------------------------------------------------
2021-02-13_00:00    2021-02-13_01:14      21      19
2021-02-13_00:05    2021-02-13_01:19      21      20
2021-02-13_00:10    2021-02-13_01:24      21      20
2021-02-13_00:15    2021-02-13_01:30      22      21
2021-02-13_00:20    2021-02-13_01:34      24      22
2021-02-13_00:25    2021-02-13_01:39      26      24
2021-02-13_00:30    2021-02-13_01:44      28      26
2021-02-13_00:35    2021-02-13_01:49      29      27
2021-02-13_00:40    2021-02-13_01:54      29      27
2021-02-13_00:45    2021-02-13_01:59      29      27
2021-02-13_00:50    2021-02-13_02:04      30      28
2021-02-13_00:55    2021-02-13_02:09      32      29
2021-02-13_01:00    2021-02-13_02:15      33      30
2021-02-13_01:05    2021-02-13_02:20      34      31
2021-02-13_01:10    2021-02-13_02:24      34      31
2021-02-13_01:15    2021-02-13_02:29      32      30
2021-02-13_01:20    2021-02-13_02:34      31      28
2021-02-13_01:25    2021-02-13_02:39      31      28
2021-02-13_01:30    2021-02-13_02:43      30      27
2021-02-13_01:35    2021-02-13_02:48      29      26
2021-02-13_01:40    2021-02-13_02:53      27      25
2021-02-13_01:45    2021-02-13_02:57      25      23
2021-02-13_01:50    2021-02-13_03:02      24      23
2021-02-13_01:55    2021-02-13_03:07      24      23
2021-02-13_02:00    2021-02-13_03:12      24      23
2021-02-13_02:05    2021-02-13_03:17      24      22
2021-02-13_02:10    2021-02-13_03:22      24      22
2021-02-13_02:15    2021-02-13_03:27      23      22
2021-02-13_02:20    2021-02-13_03:32      23      22
2021-02-13_02:25    2021-02-13_03:37      23      21
2021-02-13_02:30    2021-02-13_03:42      21      20
2021-02-13_02:35    2021-02-13_03:47      20      19
2021-02-13_02:40    2021-02-13_03:52      19      18
2021-02-13_02:45    2021-02-13_03:57      18      17
2021-02-13_02:50    2021-02-13_04:02      19      18
2021-02-13_02:55    2021-02-13_04:07      22      21
2021-02-13_03:00    2021-02-13_04:12      24      23
2021-02-13_03:05    2021-02-13_04:17      26      24
2021-02-13_03:10    2021-02-13_04:22      28      26
2021-02-13_03:15    2021-02-13_04:27      27      25
2021-02-13_03:20    2021-02-13_04:31      27      25
2021-02-13_03:25    2021-02-13_04:36      28      26
2021-02-13_03:30    2021-02-13_04:41      31      29
2021-02-13_03:35    2021-02-13_04:45      34      31
2021-02-13_03:40    2021-02-13_04:50      37      33
2021-02-13_03:45    2021-02-13_04:54      38      34
2021-02-13_03:50    2021-02-13_04:59      38      34
2021-02-13_03:55    2021-02-13_05:03      38      34
2021-02-13_04:00    2021-02-13_05:08      37      34
2021-02-13_04:05    2021-02-13_05:13      37      33
2021-02-13_04:10    2021-02-13_05:17      36      33
2021-02-13_04:15    2021-02-13_05:22      35      31
2021-02-13_04:20    2021-02-13_05:26      34      31
2021-02-13_04:25    2021-02-13_05:31      34      31
2021-02-13_04:30    2021-02-13_05:36      34      31
2021-02-13_04:35    2021-02-13_05:41      34      31
2021-02-13_04:40    2021-02-13_05:46      34      31
2021-02-13_04:45    2021-02-13_05:51      34      31
2021-02-13_04:50    2021-02-13_05:56      33      30
2021-02-13_04:55    2021-02-13_06:01      33      30
2021-02-13_05:00    2021-02-13_06:06      33      30
2021-02-13_05:05    2021-02-13_06:11      33      30
2021-02-13_05:10    2021-02-13_06:16      32      29
2021-02-13_05:15    2021-02-13_06:21      31      28
2021-02-13_05:20    2021-02-13_06:26      30      28
2021-02-13_05:25    2021-02-13_06:31      31      28
2021-02-13_05:30    2021-02-13_06:36      32      29
2021-02-13_05:35    2021-02-13_06:40      33      30
2021-02-13_05:40    2021-02-13_06:45      31      28
2021-02-13_05:45    2021-02-13_06:50      30      27
2021-02-13_05:50    2021-02-13_06:55      29      26
2021-02-13_05:55    2021-02-13_06:59      28      26
2021-02-13_06:00    2021-02-13_07:04      28      26
2021-02-13_06:05    2021-02-13_07:08      29      26
2021-02-13_06:10    2021-02-13_07:12      30      27
2021-02-13_06:15    2021-02-13_07:17      30      28
2021-02-13_06:20    2021-02-13_07:21      31      28
