time,NorthHPI,SouthHPI
2021-02-13_01:14,21,19
2021-02-13_01:19,21,20
2021-02-13_01:24,21,20
2021-02-13_01:30,22,21
2021-02-13_01:34,24,22
2021-02-13_01:39,26,24
2021-02-13_01:44,28,26
2021-02-13_01:49,29,27
2021-02-13_01:54,29,27
2021-02-13_01:59,29,27
2021-02-13_02:04,30,28
2021-02-13_02:09,32,29
2021-02-13_02:15,33,30
2021-02-13_02:20,34,31
2021-02-13_02:24,34,31
2021-02-13_02:29,32,30
2021-02-13_02:34,31,28
2021-02-13_02:39,31,28
2021-02-13_02:43,30,27
2021-02-13_02:48,29,26
2021-02-13_02:53,27,25
2021-02-13_02:57,25,23
2021-02-13_03:02,24,23
2021-02-13_03:07,24,23
2021-02-13_03:12,24,23
2021-02-13_03:17,24,22
2021-02-13_03:22,24,22
2021-02-13_03:27,23,22
2021-02-13_03:32,23,22
2021-02-13_03:37,23,21
2021-02-13_03:42,21,20
2021-02-13_03:47,20,19
2021-02-13_03:52,19,18
2021-02-13_03:57,18,17
2021-02-13_04:02,19,18
2021-02-13_04:07,22,21
2021-02-13_04:12,24,23
2021-02-13_04:17,26,24
2021-02-13_04:22,28,26
2021-02-13_04:27,27,25
2021-02-13_04:31,27,25
2021-02-13_04:36,28,26
2021-02-13_04:41,31,29
2021-02-13_04:45,34,31
2021-02-13_04:50,37,33
2021-02-13_04:54,38,34
2021-02-13_04:59,38,34
2021-02-13_05:03,38,34
2021-02-13_05:08,37,34
2021-02-13_05:13,37,33
2021-02-13_05:17,36,33
2021-02-13_05:22,35,31
2021-02-13_05:26,34,31
2021-02-13_05:31,34,31
2021-02-13_05:36,34,31
2021-02-13_05:41,34,31
2021-02-13_05:46,34,31
2021-02-13_05:51,34,31
2021-02-13_05:56,33,30
2021-02-13_06:01,33,30
2021-02-13_06:06,33,30
2021-02-13_06:11,33,30
2021-02-13_06:16,32,29
2021-02-13_06:21,31,28
2021-02-13_06:26,30,28
2021-02-13_06:31,31,28
2021-02-13_06:36,32,29
2021-02-13_06:40,33,30
2021-02-13_06:45,31,28
2021-02-13_06:50,30,27
2021-02-13_06:55,29,26
2021-02-13_06:59,28,26
2021-02-13_07:04,28,26
2021-02-13_07:08,29,26
2021-02-13_07:12,30,27
2021-02-13_07:17,30,28
2021-02-13_07:21,31,28
2021-02-13_07:26,32,30
2021-02-13_07:30,33,30
2021-02-13_07:35,34,31
2021-02-13_07:39,35,32
2021-02-13_07:44,35,32
2021-02-13_07:48,36,33
2021-02-13_07:53,36,33
2021-02-13_07:58,36,32
